experiment	model	roc_auc	brier_score	average_precision	optimal_threshold	precision	npv	recall	specificity	f1_score	f2_score	accuracy	kappa	roc_std	roc_mean_box	top_features
exp_01_base_models	catboost	0.615300413770	0.213422455853	0.481272798108	0.220000000000	0.352601156069	0.768488745981	0.809018567639	0.299123904881	0.491143317230	0.642646439107	0.462585034014	0.080593085942	0.020087037092	0.615300413770	
exp_01_base_models	decision_tree	0.555700732373	0.383567649282	0.363175295564	0.200000000000	0.385572139303	0.713178294574	0.411140583554	0.690863579474	0.397946084724	0.405759162304	0.601190476190	0.100248614999	0.015567020265	0.565535038067	
exp_01_base_models	lightgbm	0.594295481629	0.239432466467	0.440060351176	0.200000000000	0.364656381487	0.747300215983	0.689655172414	0.433041301627	0.477064220183	0.585321927060	0.515306122449	0.099320378696	0.028516700597	0.594295481629	
exp_01_base_models	logistic_regression_lasso	0.605450599967	0.212205527385	0.456165868870	0.250000000000	0.355581127733	0.778501628664	0.819628647215	0.299123904881	0.495987158909	0.649978965082	0.465986394558	0.088315824558	0.044425188800	0.605450599967	
exp_01_base_models	naive_bayes	0.571330782440	0.599273986845	0.436005129731	0.250000000000	0.324649298597	0.702247191011	0.859416445623	0.156445556946	0.471272727273	0.646448523543	0.381802721088	0.011053686027	0.036506879950	0.571330782440	
exp_01_base_models	random_forest	0.585624306935	0.244393476426	0.359009036395	0.200000000000	0.360433604336	0.746575342466	0.705570291777	0.409261576971	0.477130044843	0.592163846839	0.504251700680	0.091654875276	0.017599829733	0.587583856753	
exp_01_base_models	xgboost	0.595030757613	0.247560973773	0.396697226186	0.200000000000	0.379856115108	0.765072765073	0.700265251989	0.460575719650	0.492537313433	0.599182932365	0.537414965986	0.131540151118	0.022004054017	0.595030757613	
exp_02_aggregated_features	catboost	0.619151564052	0.213264488938	0.519220738951	0.220000000000	0.354503464203	0.774193548387	0.814323607427	0.300375469337	0.493966210780	0.646588037068	0.465136054422	0.085434790135	0.024000349579	0.619151564052	
exp_02_aggregated_features	decision_tree	0.559181394820	0.381577853364	0.334113123235	0.200000000000	0.383458646617	0.711711711712	0.405835543767	0.692115143930	0.394329896907	0.401153644468	0.600340136054	0.096464126330	0.024244577185	0.556829162529	
exp_02_aggregated_features	lightgbm	0.599476884724	0.238764760743	0.470727554336	0.200000000000	0.372714486639	0.759139784946	0.702917771883	0.441802252816	0.487132352941	0.597115817936	0.525510204082	0.117281011146	0.030629824103	0.599476884724	
exp_02_aggregated_features	logistic_regression_lasso	0.605450819265	0.212214509876	0.455615043327	0.250000000000	0.355581127733	0.778501628664	0.819628647215	0.299123904881	0.495987158909	0.649978965082	0.465986394558	0.088315824558	0.044526833585	0.605450819265	
exp_02_aggregated_features	naive_bayes	0.565652683300	0.598582350938	0.445856981879	0.500000000000	None	None	None	None	None	None	None	None	0.035828337424	0.565652683300	
exp_02_aggregated_features	random_forest	0.590730279709	0.242145508705	0.361440600442	0.500000000000	None	None	None	None	None	None	None	None	0.015242240207	0.586783724346	
exp_02_aggregated_features	xgboost	0.604523384227	0.245267889236	0.420690011151	0.200000000000	0.375545851528	0.756646216769	0.684350132626	0.463078848561	0.484962406015	0.587699316629	0.534013605442	0.121126576167	0.030902452075	0.604523384227	
exp_03_categorical_features	catboost	0.613430598312	0.214822499971	0.495938934446	0.220000000000	0.353686635945	0.772727272727	0.814323607427	0.297872340426	0.493172690763	0.646043771044	0.463435374150	0.083483192696	0.021155751182	0.613430598312	
exp_03_categorical_features	decision_tree	0.557010100132	0.383567649282	0.349947205345	0.200000000000	0.393316195373	0.715374841169	0.405835543767	0.704630788486	0.399477806789	0.403268318397	0.608843537415	0.109545521884	0.024362754950	0.557476466816	
exp_03_categorical_features	lightgbm	0.593414504717	0.239190616660	0.462572223196	0.200000000000	0.366666666667	0.752192982456	0.700265251989	0.429286608260	0.481312670921	0.592459605027	0.516156462585	0.104455079819	0.027906328140	0.593414504717	
exp_03_categorical_features	logistic_regression_lasso	0.603674400033	0.212472950369	0.456530817984	0.250000000000	0.353009259259	0.769230769231	0.809018567639	0.300375469337	0.491539081386	0.642917369309	0.463435374150	0.081568394475	0.043378071070	0.603674400033	
exp_03_categorical_features	naive_bayes	0.574096667080	0.597220481426	0.438673729778	0.290000000000	0.325933400605	0.708108108108	0.856763925729	0.163954943680	0.472222222222	0.646258503401	0.386054421769	0.014487774417	0.037853613794	0.574096667080	
exp_03_categorical_features	random_forest	0.581288691658	0.245152147347	0.381816734820	0.200000000000	0.361673414305	0.749425287356	0.710875331565	0.408010012516	0.479427549195	0.595820364606	0.505102040816	0.094731328715	0.018309199614	0.584545196127	
exp_03_categorical_features	xgboost	0.595030757613	0.247560973773	0.396697226186	0.200000000000	0.379856115108	0.765072765073	0.700265251989	0.460575719650	0.492537313433	0.599182932365	0.537414965986	0.131540151118	0.022004054017	0.595030757613	
exp_04_feature_pruning	catboost	0.623704017709	0.212592915803	0.491488864600	0.230000000000	0.362110311751	0.780701754386	0.801061007958	0.334167709637	0.498761354253	0.644748078565	0.483843537415	0.102436816296	0.020938599443	0.623704017709	
exp_04_feature_pruning	decision_tree	0.559847049818	0.379546485261	0.327959804290	0.200000000000	0.390776699029	0.717277486911	0.427055702918	0.685857321652	0.408111533587	0.419270833333	0.602891156463	0.110211012028	0.026306870108	0.553381972029	
exp_04_feature_pruning	lightgbm	0.599476884724	0.238764760743	0.470727554336	0.200000000000	0.372714486639	0.759139784946	0.702917771883	0.441802252816	0.487132352941	0.597115817936	0.525510204082	0.117281011146	0.030629824103	0.599476884724	
exp_04_feature_pruning	logistic_regression_lasso	0.606685100132	0.211095250747	0.489911760078	0.250000000000	0.355428571429	0.780730897010	0.824933687003	0.294117647059	0.496805111821	0.652538816618	0.464285714286	0.088262150475	0.053209163081	0.606685100132	
exp_04_feature_pruning	naive_bayes	0.569907820258	0.264871512869	0.472915331984	0.200000000000	0.342354533153	0.716247139588	0.671087533156	0.391739674593	0.453405017921	0.562972852692	0.481292517007	0.050118510083	0.040898098735	0.569907820258	
exp_04_feature_pruning	random_forest	0.584674548990	0.243827417961	0.373654010929	0.200000000000	0.361930294906	0.751162790698	0.716180371353	0.404255319149	0.480854853072	0.598935226264	0.504251700680	0.095699611166	0.022534697736	0.580266637703	
exp_04_feature_pruning	xgboost	0.603816623221	0.246247375579	0.431032067426	0.200000000000	0.381231671554	0.763157894737	0.689655172414	0.471839799750	0.491029272899	0.593607305936	0.541666666667	0.133065994124	0.040388029490	0.603816623221	
exp_05_hyperparameter_search	catboost	0.621502197120	0.208349397649	0.549718397122	0.240000000000	0.354767184035	0.791970802920	0.848806366048	0.271589486859	0.500390930414	0.663900414938	0.456632653061	0.088024699149	0.045352464081	0.621502197120	
exp_05_hyperparameter_search	decision_tree	0.635362951010	0.211675953297	0.469903360787	0.220000000000	0.371264367816	0.823529411765	0.856763925729	0.315394242804	0.518043303929	0.679142136249	0.488945578231	0.127966716513	0.042461087459	0.636728521185	
exp_05_hyperparameter_search	lightgbm	0.638439744704	0.206305147451	0.508783982351	0.240000000000	0.347089947090	0.787878787879	0.870026525199	0.227784730914	0.496217851740	0.668569099062	0.433673469388	0.069971572490	0.025236274235	0.638439744704	
exp_05_hyperparameter_search	logistic_regression_lasso	0.606786527640	0.239578675080	0.489394985839	0.420000000000	0.357733175915	0.775075987842	0.803713527851	0.319148936170	0.495098039216	0.643312101911	0.474489795918	0.092431685869	0.054303559095	0.606786527640	
exp_05_hyperparameter_search	naive_bayes	0.570654650778	0.259822795216	0.472570820430	0.200000000000	0.335483870968	0.708229426434	0.689655172414	0.355444305382	0.451388888889	0.569426193605	0.462585034014	0.035267302006	0.041184121970	0.570654650778	
exp_05_hyperparameter_search	random_forest	0.640403169480	0.228925623461	0.501570480483	0.380000000000	0.375455650061	0.807365439093	0.819628647215	0.356695869837	0.515000000000	0.662805662806	0.505102040816	0.134351388337	0.031075981300	0.640678138448	
exp_05_hyperparameter_search	xgboost	0.637145984359	0.206960207441	0.530242235923	0.240000000000	0.366930917327	0.819112627986	0.859416445623	0.300375469337	0.514285714286	0.677540777917	0.479591836735	0.117976219947	0.030470018589	0.637145984359	
